,movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,duracion_hora,exceso_velocidad_real,exceso_velocidad
3,MOV-00005,B-017,ONEPLATA,R-03,MUELLEE,SOJA,VALPARAISO,2024-05-13,1900-01-01 16:58:00,2024-05-13,1900-01-01 02:16:00,6166.47,16.2,15,PENDIENTE,,1.1999999999999993,0.4499999999999993
8,MOV-00012,B-023,ONEPARANA,R-04,MUELLEF,SOJA,SHANGHAI,1900-01-01,1900-01-01 05:51:00,2024-11-06,1900-01-01 01:51:00,6969.71,11.2,10,RECHAZADO,,1.1999999999999993,0.6999999999999993
9,MOV-00013,B-015,ZIMDELTA,R-01,MUELLEF,TRIGO,ROTTERDAM,2021-12-20,1900-01-01 20:32:00,2021-12-23,1900-01-01 05:43:00,4918.63,13.1,12,EN_REVISION,2 days 09:11:00,1.0999999999999996,0.4999999999999982
10,MOV-00014,B-003,MAERSKPAMPAS,,MUELLEE,TRIGO,SHANGHAI,2023-06-30,1900-01-01 10:42:00,2023-07-01,1900-01-01 19:13:00,6604.27,13.9,12,RECHAZADO,1 days 08:31:00,1.9000000000000004,1.299999999999999
12,MOV-00016,B-032,COSCOTIGRE,R-04,MUELLEB,GRANOS,BUENOS AIRES,2022-11-26,1900-01-01 14:03:00,2022-11-28,1900-01-01 02:49:00,5421.5,17.3,15,RECHAZADO,1 days 12:46:00,2.3000000000000007,1.5500000000000007
13,MOV-00018,B-023,YANGMING,R-07,MUELLED,TRIGO,HAMBURG,2021-11-19,1900-01-01 21:43:00,2021-11-22,1900-01-01 00:22:00,4801.28,15.4,12,PENDIENTE,2 days 02:39:00,3.4000000000000004,2.799999999999999
21,MOV-00026,B-006,YANGESTE,R-01,MUELLED,ACEITE,VALPARAISO,2023-04-17,1900-01-01 00:48:00,2023-04-18,1900-01-01 00:00:00,7576.43,16.2,15,DESPACHADO,0 days 23:12:00,1.1999999999999993,0.4499999999999993
22,MOV-00027,B-026,ZIMNORTE,R-01,MUELLED,SOJA,SHANGHAI,2024-11-06,1900-01-01 16:52:00,2024-11-06,1900-01-01 19:10:00,3586.83,19.1,12,EN_REVISION,0 days 02:18:00,7.100000000000001,6.5
24,MOV-00029,B-033,PILSANTA,R-01,MUELLEC,HARINA,HAMBURG,2023-02-04,1900-01-01 17:24:00,2023-02-07,1900-01-01 03:49:00,3696.06,13.1,12,PENDIENTE,2 days 10:25:00,1.0999999999999996,0.4999999999999982
26,MOV-00031,B-028,MAERSKLIMA,R-02,MUELLED,MAIZ,VALPARAISO,2022-01-04,1900-01-01 11:27:00,2022-01-05,1900-01-01 01:21:00,7051.4,13.5,12,DESPACHADO,0 days 13:54:00,1.5,0.8999999999999986
29,MOV-00035,B-020,MAERSKPAMPAS,R-02,MUELLEB,GRANOS,SANTA FE,2024-12-22,1900-01-01 17:08:00,2024-12-24,1900-01-01 21:41:00,,12.0,10,EN_REVISION,2 days 04:33:00,2.0,1.5
34,MOV-00040,B-014,CMAROSARIO,R-08,MUELLEB,SOJA,SHANGHAI,2024-07-11,1900-01-01 13:54:00,2024-07-11,1900-01-01 07:21:00,5727.86,13.6,10,EN_REVISION,,3.5999999999999996,3.0999999999999996
39,MOV-00045,B-013,MSCALPHA,R-08,MUELLEE,MAIZ,SANTA FE,2024-01-02,1900-01-01 02:32:00,2024-01-03,1900-01-01 16:59:00,7045.67,15.9,12,RECHAZADO,1 days 14:27:00,3.9000000000000004,3.299999999999999
40,MOV-00046,B-017,YANGESTE,R-03,MUELLEC,SOJA,MONTEVIDEO,2022-03-13,1900-01-01 04:38:00,2022-03-13,1900-01-01 04:59:00,4352.23,16.1,15,EN_REVISION,0 days 00:21:00,1.1000000000000014,0.3500000000000014
43,MOV-00051,B-025,EVERGREEN02,R-05,MUELLEF,GRANOS,SHANGHAI,2020-07-31,1900-01-01 18:47:00,2020-08-02,1900-01-01 14:51:00,,16.0,15,DESPACHADO,1 days 20:04:00,1.0,0.25
45,MOV-00053,B-019,MSCALPHA,R-02,MUELLEA,ACEITE,VALPARAISO,2023-11-13,1900-01-01 14:22:00,2023-11-16,1900-01-01 06:21:00,3200.68,13.6,10,EN_REVISION,2 days 15:59:00,3.5999999999999996,3.0999999999999996
48,MOV-00056,B-020,COSCOTIGRE,R-08,MUELLEE,CONTENEDORES,ROTTERDAM,2022-07-10,1900-01-01 14:43:00,2022-07-13,1900-01-01 23:39:00,5739.47,13.9,10,DESPACHADO,3 days 08:56:00,3.9000000000000004,3.4000000000000004
53,MOV-00062,B-010,ZIMDELTA,R-01,MUELLEE,SOJA,SAO PAULO,2023-11-15,1900-01-01 06:26:00,2023-11-18,1900-01-01 21:09:00,3834.7,13.1,12,DESPACHADO,3 days 14:43:00,1.0999999999999996,0.4999999999999982
54,MOV-00063,B-017,YANGESTE,,MUELLEB,TRIGO,VALPARAISO,2024-04-28,1900-01-01 09:45:00,2024-04-29,1900-01-01 00:00:00,5506.97,20.0,12,EN_REVISION,0 days 14:15:00,8.0,7.399999999999999
56,MOV-00065,B-004,COSCOSTAR,R-04,MUELLEE,GRANOS,MONTEVIDEO,2024-09-08,1900-01-01 12:50:00,2024-09-11,1900-01-01 11:19:00,5551.09,10.7,10,RECHAZADO,2 days 22:29:00,0.6999999999999993,0.1999999999999993
59,MOV-00068,B-037,MAERSKLIMA,,MUELLEE,TRIGO,MONTEVIDEO,2023-10-25,1900-01-01 06:45:00,2023-10-28,1900-01-01 22:57:00,4314.36,15.2,10,PENDIENTE,3 days 16:12:00,5.199999999999999,4.699999999999999
63,MOV-00072,B-015,YANGMING,R-03,MUELLED,GRANOS,ROTTERDAM,2021-06-06,1900-01-01 06:21:00,2021-06-06,1900-01-01 03:44:00,4397.33,11.4,10,RECHAZADO,,1.4000000000000004,0.9000000000000004
65,MOV-00074,B-038,PILOESTE,,MUELLEC,MAIZ,SAO PAULO,2022-10-19,1900-01-01 17:41:00,2022-10-21,1900-01-01 00:25:00,5195.16,15.9,10,EN_REVISION,1 days 06:44:00,5.9,5.4
70,MOV-00081,B-021,HAPAGRIO,R-07,MUELLEC,HARINA,HAMBURG,2022-01-17,1900-01-01 03:59:00,2022-01-18,1900-01-01 07:00:00,4553.31,14.2,12,PENDIENTE,1 days 03:01:00,2.1999999999999993,1.5999999999999979
73,MOV-00085,B-032,ONEPLATA,R-06,MUELLEE,CONTENEDORES,ROTTERDAM,2020-12-19,1900-01-01 21:45:00,2020-12-21,1900-01-01 00:00:00,3661.36,16.7,15,DESPACHADO,1 days 02:15:00,1.6999999999999993,0.9499999999999993
76,MOV-00088,B-011,YANGESTE,R-03,MUELLEB,TRIGO,SANTA FE,2021-10-24,1900-01-01 22:18:00,2021-10-26,1900-01-01 15:18:00,3415.63,11.2,10,EN_REVISION,1 days 17:00:00,1.1999999999999993,0.6999999999999993
77,MOV-00089,B-026,HAPAGSUR,R-03,MUELLEE,HARINA,ROTTERDAM,2022-04-05,1900-01-01 16:47:00,2022-04-07,1900-01-01 18:29:00,3376.24,13.3,10,RECHAZADO,2 days 01:42:00,3.3000000000000007,2.8000000000000007
85,MOV-00097,B-024,MAERSKLIMA,,MUELLEB,TRIGO,SANTA FE,1900-01-01,1900-01-01 09:20:00,2024-05-04,1900-01-01 23:36:00,6218.43,13.4,12,RECHAZADO,,1.4000000000000004,0.7999999999999989
86,MOV-00098,B-023,MSCGENOVA,R-06,MUELLEA,CONTENEDORES,VALPARAISO,2022-10-04,1900-01-01 01:09:00,2022-10-05,1900-01-01 22:10:00,5952.49,20.2,12,DESPACHADO,1 days 21:01:00,8.2,7.599999999999998
89,MOV-00101,B-029,CMAROSARIO,R-02,MUELLEC,SOJA,SANTA FE,2024-08-09,1900-01-01 23:25:00,2024-08-12,1900-01-01 21:51:00,7588.44,14.1,12,RECHAZADO,2 days 22:26:00,2.0999999999999996,1.4999999999999982
90,MOV-00102,B-013,ONEPLATA,R-04,MUELLEF,GRANOS,ROTTERDAM,1900-01-01,1900-01-01 16:20:00,2023-03-06,1900-01-01 19:52:00,2924.29,12.7,12,EN_REVISION,,0.6999999999999993,0.09999999999999787
95,MOV-00108,B-019,COSCOSTAR,R-08,MUELLEA,HARINA,ROTTERDAM,2023-08-07,1900-01-01 17:24:00,2023-08-08,1900-01-01 17:21:00,3238.98,12.3,10,RECHAZADO,0 days 23:57:00,2.3000000000000007,1.8000000000000007
97,MOV-00110,B-005,COSCOSTAR,R-07,MUELLEE,CONTENEDORES,SHANGHAI,2024-05-29,1900-01-01 22:39:00,2024-06-01,1900-01-01 22:57:00,2342.09,11.2,10,EN_REVISION,3 days 00:18:00,1.1999999999999993,0.6999999999999993
99,MOV-00112,B-014,MAERSKPAMPAS,R-08,MUELLEE,ACEITE,SANTA FE,2020-10-04,1900-01-01 16:56:00,2020-10-04,1900-01-01 01:16:00,6728.89,13.9,12,PENDIENTE,,1.9000000000000004,1.299999999999999
100,MOV-00113,B-031,PILOESTE,R-06,MUELLEC,MAIZ,VALPARAISO,2024-10-14,1900-01-01 00:00:00,2024-10-16,1900-01-01 00:00:00,,14.9,10,DESPACHADO,2 days 00:00:00,4.9,4.4
102,MOV-00116,B-036,HAPAGRIO,R-06,MUELLEF,SOJA,SAO PAULO,2024-06-02,1900-01-01 10:23:00,2024-06-03,1900-01-01 03:40:00,5405.43,18.0,12,EN_REVISION,0 days 17:17:00,6.0,5.399999999999999
105,MOV-00121,B-007,PILSANTA,R-04,MUELLED,HARINA,VALPARAISO,2024-10-11,1900-01-01 00:00:00,2024-10-13,1900-01-01 00:00:00,7090.14,13.7,10,RECHAZADO,2 days 00:00:00,3.6999999999999993,3.1999999999999993
111,MOV-00127,B-009,CMAROSARIO,R-07,MUELLEE,HARINA,SHANGHAI,2023-11-07,1900-01-01 11:58:00,2023-11-08,1900-01-01 05:32:00,5509.85,16.0,12,PENDIENTE,0 days 17:34:00,4.0,3.3999999999999986
112,MOV-00128,B-034,MAERSKLIMA,R-01,MUELLED,MAIZ,SANTA FE,2021-08-09,1900-01-01 21:16:00,2021-08-10,1900-01-01 12:04:00,5618.79,16.8,10,DESPACHADO,0 days 14:48:00,6.800000000000001,6.300000000000001
116,MOV-00133,B-008,ZIMNORTE,R-01,MUELLEF,SOJA,SANTA FE,2024-05-30,1900-01-01 21:19:00,2024-05-31,1900-01-01 04:04:00,4111.59,14.8,12,DESPACHADO,0 days 06:45:00,2.8000000000000007,2.1999999999999993
118,MOV-00136,B-031,CMALITORAL,R-08,MUELLEC,HARINA,HAMBURG,2024-10-24,1900-01-01 04:57:00,2024-10-27,1900-01-01 11:29:00,5737.11,15.7,12,DESPACHADO,3 days 06:32:00,3.6999999999999993,3.099999999999998
119,MOV-00137,B-026,ZIMDELTA,R-05,MUELLEB,MINERALES,BUENOS AIRES,2024-10-02,1900-01-01 19:43:00,2024-10-03,1900-01-01 18:48:00,4885.13,12.3,10,RECHAZADO,0 days 23:05:00,2.3000000000000007,1.8000000000000007
122,MOV-00140,B-026,YANGESTE,R-01,MUELLEF,HARINA,BUENOS AIRES,2020-12-15,1900-01-01 07:53:00,2020-12-17,1900-01-01 00:00:00,1422.1,15.0,12,PENDIENTE,1 days 16:07:00,3.0,2.3999999999999986
124,MOV-00142,B-019,YANGESTE,R-07,MUELLEC,TRIGO,SANTA FE,2022-02-07,1900-01-01 20:13:00,2022-02-09,1900-01-01 00:13:00,4469.82,11.3,10,DESPACHADO,1 days 04:00:00,1.3000000000000007,0.8000000000000007
125,MOV-00143,B-037,EVERGREEN02,R-07,MUELLEF,MAIZ,BUENOS AIRES,2020-07-24,1900-01-01 06:32:00,2020-07-26,1900-01-01 09:21:00,3243.42,13.5,10,PENDIENTE,2 days 02:49:00,3.5,3.0
126,MOV-00145,B-005,COSCOSTAR,R-05,MUELLEF,ACEITE,SHANGHAI,2022-04-07,1900-01-01 18:00:00,2022-04-09,1900-01-01 00:09:00,5457.35,19.6,12,EN_REVISION,1 days 06:09:00,7.600000000000001,7.0
127,MOV-00146,B-030,PILOESTE,R-01,MUELLED,SOJA,VALPARAISO,2023-10-18,1900-01-01 22:14:00,2023-10-20,1900-01-01 04:19:00,3433.59,15.6,10,DESPACHADO,1 days 06:05:00,5.6,5.1
128,MOV-00147,B-013,HAPAGSUR,R-04,MUELLEB,TRIGO,VALPARAISO,2021-12-30,1900-01-01 00:00:00,2021-12-30,1900-01-01 10:55:00,5296.73,17.6,15,PENDIENTE,0 days 10:55:00,2.6000000000000014,1.8500000000000014
