,count,mean,min,25%,50%,75%,max,std
fecha_ingreso,459,2019-05-18 16:56:28.235294208,1900-01-01 00:00:00,2021-02-28 12:00:00,2022-06-21 00:00:00,2023-11-14 00:00:00,2024-12-27 00:00:00,
hora_ingreso,459,1900-01-01 11:30:25.228758016,1900-01-01 00:00:00,1900-01-01 04:54:30,1900-01-01 12:03:00,1900-01-01 17:26:00,1900-01-01 23:56:00,
fecha_egreso,459,2020-03-09 21:35:41.176470528,1900-01-01 00:00:00,2021-03-17 00:00:00,2022-07-13 00:00:00,2023-11-19 12:00:00,2024-12-28 00:00:00,
hora_egreso,459,1900-01-01 10:25:15.555555328,1900-01-01 00:00:00,1900-01-01 03:40:00,1900-01-01 10:06:00,1900-01-01 17:00:00,1900-01-01 23:53:00,
tonelaje_declarado,433.0,5022.277043879908,1422.1,4074.92,4971.79,5974.98,8552.11,1275.9860231400057
velocidad_ingreso,459.0,14.236383442265797,10.6,12.8,14.0,15.7,20.2,2.1064998165452438
velocidad_maxima_muelle,459.0,11.187363834422658,10.0,10.0,10.0,12.0,15.0,1.4980968350413206
duracion_hora,422,1 days 15:52:17.345971563,0 days 00:21:00,0 days 21:54:45,1 days 16:05:30,2 days 07:57:45,3 days 16:12:00,0 days 20:52:42.037181807
exceso_velocidad_real,459.0,3.049019607843137,0.5999999999999996,1.5,2.8000000000000007,4.199999999999999,9.7,1.7733144766902313
exceso_velocidad,459.0,2.4896514161220034,0.05000000000000071,0.9999999999999982,2.1999999999999993,3.6999999999999993,9.2,1.788249091352149
